request_id,source_system,department,section_id,corridor_slot,chainage_start,chainage_end,requested_window_start,requested_window_end,required_duration_minutes,work_type,asset_id,asset_type,asset_age_years,last_maintenance_days_ago,past_breakdown_count,gross_million_tonnes,condition_score,urgency_category,requires_power_block,requires_traffic_block,status
REQ-20260915-TRD-0001,TDMS,TRD,SEC-ALJN-TDL,SLOT_NIGHT,182.92,184.54,2026-09-15T00:30:00,2026-09-15T04:00:00,139,Cantilever Assembly & Dropper Adjustment,TRD-OHE-ALJN-TDL-0072,Cantilever Mast Assembly,1.5,107,0,14.0,7.6,MEDIUM,True,True,PENDING
REQ-20260915-ENG-0001,TMS,ENG,SEC-TDL-CNB,SLOT_NIGHT,239.06,239.47,2026-09-15T00:30:00,2026-09-15T04:15:00,146,Turnout & Switch Crossing Renewal,ENG-TRK-TDL-CNB-0021,Turnout Assembly,1.1,24,0,40.9,8.8,LOW,True,True,PENDING
REQ-20260915-ST-0001,SMMS,S&T,SEC-TKJ-GZB,SLOT_NIGHT,18.17,18.37,2026-09-15T00:30:00,2026-09-15T04:30:00,69,Level Crossing Interlocking Gate Inspection,SNT-SIG-TKJ-GZB-0019,Interlocked LC Gate Mechanism,14.8,162,2,83.1,3.6,HIGH,False,True,PENDING
REQ-20260915-TRD-0002,TDMS,TRD,SEC-TDL-CNB,SLOT_NIGHT,238.66,238.98,2026-09-15T00:45:00,2026-09-15T04:15:00,147,Neutral Section & Phase Break Maintenance,TRD-OHE-TDL-CNB-0015,PTFE Neutral Section,7.7,30,0,40.7,9.5,LOW,True,True,PENDING
REQ-20260915-ST-0002,SMMS,S&T,SEC-TDL-CNB,SLOT_NIGHT,398.61,400.11,2026-09-15T00:45:00,2026-09-15T04:00:00,66,Signaling Cable Meggering & Trench Maintenance,SNT-SIG-TDL-CNB-0034,Underground Signaling Cable,5.9,65,0,33.0,9.0,LOW,False,False,PENDING
REQ-20260915-ENG-0002,TMS,ENG,SEC-TKJ-GZB,SLOT_NIGHT,18.11,19.48,2026-09-15T00:45:00,2026-09-15T04:15:00,136,Ballast Regulating & Track Dressing,ENG-TRK-TKJ-GZB-0032,Ballast Track,11.8,165,2,51.8,4.9,HIGH,False,True,PENDING
REQ-20260915-ST-0003,SMMS,S&T,SEC-GZB-MB,SLOT_NIGHT,148.01,148.61,2026-09-15T01:00:00,2026-09-15T04:15:00,138,Electronic Interlocking (EI) Diagnostic & Fail-Safe Test,SNT-SIG-GZB-MB-0063,Solid State Interlocking Unit,7.9,212,2,74.3,4.4,HIGH,False,True,PENDING
REQ-20260915-ENG-0003,TMS,ENG,SEC-ALJN-TDL,SLOT_EARLY_MORN,166.65,169.26,2026-09-15T04:30:00,2026-09-15T07:45:00,154,Track Tamping (BCM/CSM Machine),ENG-TRK-ALJN-TDL-0019,Ballast & Sleeper Bed,9.8,125,3,78.9,5.5,HIGH,False,True,PENDING
REQ-20260915-TRD-0003,TDMS,TRD,SEC-GZB-MB,SLOT_EARLY_MORN,64.57,68.73,2026-09-15T04:30:00,2026-09-15T07:30:00,112,Tower Wagon Foot Patrolling & Current Collection Test,TRD-OHE-GZB-MB-0058,Overhead Traction Line,20.6,326,5,84.1,2.0,CRITICAL,True,True,PENDING
REQ-20260915-TRD-0004,TDMS,TRD,SEC-TKJ-GZB,SLOT_EARLY_MORN,5.63,8.65,2026-09-15T04:30:00,2026-09-15T07:30:00,133,OHE Annual Overhaul & Contact Wire Inspection,TRD-OHE-TKJ-GZB-0027,OHE Contact & Catenary Wire,14.5,183,3,69.5,5.4,HIGH,True,True,PENDING
REQ-20260915-TRD-0005,TDMS,TRD,SEC-ALJN-TDL,SLOT_EARLY_MORN,140.19,141.72,2026-09-15T04:45:00,2026-09-15T07:30:00,67,OHE Insulator Washing & High-Voltage Testing,TRD-OHE-ALJN-TDL-0045,Post & Tension Insulators,14.4,212,3,73.3,4.8,HIGH,True,True,PENDING
REQ-20260915-ST-0004,SMMS,S&T,SEC-ALJN-TDL,SLOT_EARLY_MORN,166.37,167.4,2026-09-15T04:45:00,2026-09-15T07:45:00,99,Signaling Cable Meggering & Trench Maintenance,SNT-SIG-ALJN-TDL-0014,Underground Signaling Cable,3.3,32,0,30.6,9.5,LOW,False,False,PENDING
REQ-20260915-TRD-0006,COA,TRD,SEC-ALJN-TDL,SLOT_EARLY_MORN,166.65,169.93,2026-09-15T04:45:00,2026-09-15T08:00:00,137,Tower Wagon Foot Patrolling & Current Collection Test,TRD-OHE-ALJN-TDL-0013,Overhead Traction Line,5.4,22,0,43.9,6.6,LOW,True,True,PENDING
REQ-20260915-ST-0005,SMMS,S&T,SEC-ALJN-TDL,SLOT_EARLY_MORN,189.57,189.8,2026-09-15T04:45:00,2026-09-15T08:00:00,67,Point Machine Overhaul & Lubrication,SNT-SIG-ALJN-TDL-0050,Electric Point Machine,1.1,15,0,44.0,7.1,LOW,False,True,PENDING
REQ-20260915-TRD-0007,TDMS,TRD,SEC-GZB-MB,SLOT_EARLY_MORN,53.49,53.7,2026-09-15T04:45:00,2026-09-15T08:00:00,131,Neutral Section & Phase Break Maintenance,TRD-OHE-GZB-MB-0018,PTFE Neutral Section,0.9,79,0,14.3,8.5,LOW,True,True,PENDING
REQ-20260915-ENG-0004,TMS,ENG,SEC-GZB-MB,SLOT_EARLY_MORN,53.76,55.27,2026-09-15T04:45:00,2026-09-15T07:45:00,158,Through Rail Renewal (TRR),ENG-TRK-GZB-MB-0024,Continuous Welded Rail,7.4,99,0,12.3,8.2,MEDIUM,False,True,PENDING
REQ-20260915-TRD-0008,TDMS,TRD,SEC-NDLS-TKJ,SLOT_EARLY_MORN,2.74,3.24,2026-09-15T04:45:00,2026-09-15T08:00:00,131,Neutral Section & Phase Break Maintenance,TRD-OHE-NDLS-TKJ-0033,PTFE Neutral Section,2.8,51,1,42.9,8.7,MEDIUM,True,True,PENDING
REQ-20260915-ENG-0005,COA,ENG,SEC-CNB-PRYJ,SLOT_EARLY_MORN,493.43,493.96,2026-09-15T05:00:00,2026-09-15T07:45:00,115,Ultrasonic Flaw Detection (USFD) & Joint Rectification,ENG-TRK-CNB-PRYJ-0026,Rail Joint / Fishplate,7.4,28,0,31.9,7.1,LOW,False,True,PENDING
REQ-20260915-TRD-0009,TDMS,TRD,SEC-CNB-PRYJ,SLOT_EARLY_MORN,493.73,494.84,2026-09-15T05:00:00,2026-09-15T08:00:00,96,Cantilever Assembly & Dropper Adjustment,TRD-OHE-CNB-PRYJ-0020,Cantilever Mast Assembly,2.6,60,0,27.1,7.6,LOW,True,True,PENDING
REQ-20260915-TRD-0010,TDMS,TRD,SEC-GZB-MB,SLOT_EARLY_MORN,102.53,104.31,2026-09-15T05:00:00,2026-09-15T07:45:00,136,OHE Catenary Wire Splicing & Tensioning,TRD-OHE-GZB-MB-0070,Tension Spring / Regulating Equipment,12.1,209,1,53.5,5.8,MEDIUM,True,True,PENDING
REQ-20260915-ST-0006,SMMS,S&T,SEC-TKJ-GZB,SLOT_EARLY_MORN,5.28,5.47,2026-09-15T05:00:00,2026-09-15T07:45:00,64,Signal Aspect LED Lamp & Mechanism Replacement,SNT-SIG-TKJ-GZB-0020,Color Light Signal Post,25.9,228,3,99.3,2.1,CRITICAL,False,False,PENDING
REQ-20260915-ENG-0006,TMS,ENG,SEC-TKJ-GZB,SLOT_EARLY_MORN,5.52,5.7,2026-09-15T05:00:00,2026-09-15T08:00:00,109,Switch Expansion Joint (SEJ) Maintenance,ENG-TRK-TKJ-GZB-0035,SEJ Assembly,12.7,209,1,43.7,5.8,MEDIUM,False,True,PENDING
REQ-20260915-ENG-0007,TMS,ENG,SEC-NDLS-TKJ,SLOT_MIDDAY,0.41,3.5,2026-09-15T11:30:00,2026-09-15T14:45:00,165,Track Tamping (BCM/CSM Machine),ENG-TRK-NDLS-TKJ-0004,Ballast & Sleeper Bed,3.2,27,0,46.9,7.1,LOW,False,True,PENDING
REQ-20260915-ENG-0008,COA,ENG,SEC-ALJN-TDL,SLOT_MIDDAY,192.02,195.41,2026-09-15T11:45:00,2026-09-15T15:00:00,180,Track Tamping (BCM/CSM Machine),ENG-TRK-ALJN-TDL-0071,Ballast & Sleeper Bed,5.8,87,0,13.8,6.6,LOW,False,True,PENDING
REQ-20260915-ST-0007,SMMS,S&T,SEC-GZB-MB,SLOT_MIDDAY,67.91,68.79,2026-09-15T11:45:00,2026-09-15T15:00:00,91,Signaling Cable Meggering & Trench Maintenance,SNT-SIG-GZB-MB-0017,Underground Signaling Cable,7.3,87,0,18.8,9.3,LOW,False,False,PENDING
REQ-20260915-ENG-0009,TMS,ENG,SEC-GZB-MB,SLOT_MIDDAY,67.96,70.21,2026-09-15T11:45:00,2026-09-15T15:00:00,180,Deep Ballast Screening,ENG-TRK-GZB-MB-0029,Ballast Cushion,16.5,256,6,130.7,1.9,CRITICAL,True,True,PENDING
REQ-20260915-ST-0008,SMMS,S&T,SEC-NDLS-TKJ,SLOT_MIDDAY,0.0,0.18,2026-09-15T11:45:00,2026-09-15T15:00:00,72,Level Crossing Interlocking Gate Inspection,SNT-SIG-NDLS-TKJ-0002,Interlocked LC Gate Mechanism,6.9,101,0,24.6,8.9,MEDIUM,False,True,PENDING
REQ-20260915-ENG-0010,TMS,ENG,SEC-NDLS-TKJ,SLOT_MIDDAY,0.54,3.34,2026-09-15T11:45:00,2026-09-15T14:30:00,150,Track Tamping (BCM/CSM Machine),ENG-TRK-NDLS-TKJ-0070,Ballast & Sleeper Bed,25.9,240,5,78.2,2.2,CRITICAL,False,True,PENDING
REQ-20260915-TRD-0011,TDMS,TRD,SEC-PRYJ-DDU,SLOT_MIDDAY,772.99,774.61,2026-09-15T11:45:00,2026-09-15T14:45:00,72,OHE Insulator Washing & High-Voltage Testing,TRD-OHE-PRYJ-DDU-0054,Post & Tension Insulators,3.3,113,0,34.6,9.7,MEDIUM,True,True,PENDING
